From;To
T-stage;M0 PS
M-stage;M0 PS
N-stage;M0 PS
Age;M0 PS
Sex;M0 PS
T-stage;M0 HRQOL
M-stage;M0 HRQOL
N-stage;M0 HRQOL
T-stage;M3 HRQOL
M-stage;M3 HRQOL
N-stage;M3 HRQOL
T-stage;M6 HRQOL
M-stage;M6 HRQOL
N-stage;M6 HRQOL
M0 HRQOL;M3 survival
M3 HRQOL;M6 survival
Age;M3 survival
Age;M6 survival
Treat. response;M3 HRQOL
Treat. response;M6 HRQOL
Treat. response;M3 survival
Treat. response;M6 survival
Treatment;M3 HRQOL
Treatment;M6 HRQOL
Treatment;M3 survival
Treatment;M6 survival
Treatment;Treat. response
M3 survival;M6 survival
T-stage;M3 survival
M-stage;M3 survival
N-stage;M3 survival
T-stage;M6 survival
M-stage;M6 survival
N-stage;M6 survival
M3 survival;M3 HRQOL
M6 survival;M6 HRQOL
